what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui",1397402912349
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1397402912351
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1397402912372
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1397402912374
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1397402912382
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1397402912389
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1397402912414
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1397402912414
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1397402912415
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1397402912416
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1397402912416
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1397402912422
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397402912423
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1397402912423
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1397402912429
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1397402912429
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1397402912430
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1397402912431
os,sysinfo,,,"linux",1397402912453
arch,sysinfo,,,"x86",1397402912453
ws,sysinfo,,,"gtk",1397402912453
locale,sysinfo,,,"zh_CN",1397402912453
processors,sysinfo,,,"1",1397402912453
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1397402912455
java.runtime.version,sysinfo,,,"1.6.0_30-b30",1397402912455
java.specification.name,sysinfo,,,"Java Platform API Specification",1397402912455
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397402912455
java.specification.version,sysinfo,,,"1.6",1397402912455
